,open,high,low,close,adjclose,volume,ticker
1996-01-01,29.850000381469727,29.950000762939453,29.5,29.600000381469727,22.302871704101562,16300.0,MRPL.NS
1996-01-02,29.600000381469727,30.0,29.25,29.950000762939453,22.56658935546875,38700.0,MRPL.NS
1996-01-03,29.950000762939453,29.950000762939453,29.549999237060547,29.700000762939453,22.378219604492188,21700.0,MRPL.NS
1996-01-04,29.700000762939453,29.850000381469727,29.5,29.850000381469727,22.491241455078125,20700.0,MRPL.NS
1996-01-05,29.850000381469727,30.450000762939453,29.5,29.75,22.415889739990234,42300.0,MRPL.NS
1996-01-08,29.75,29.799999237060547,29.399999618530273,29.549999237060547,22.26519775390625,34800.0,MRPL.NS
1996-01-09,29.549999237060547,29.600000381469727,29.100000381469727,29.350000381469727,22.114505767822266,31600.0,MRPL.NS
1996-01-10,29.350000381469727,29.600000381469727,29.049999237060547,29.299999237060547,22.076828002929688,27900.0,MRPL.NS
1996-01-11,29.299999237060547,29.5,28.850000381469727,29.299999237060547,22.076828002929688,21500.0,MRPL.NS
1996-01-12,29.299999237060547,29.700000762939453,29.299999237060547,29.549999237060547,22.26519775390625,19500.0,MRPL.NS
1996-01-15,29.549999237060547,29.600000381469727,29.299999237060547,29.450000762939453,22.189851760864258,17700.0,MRPL.NS
1996-01-16,29.450000762939453,29.700000762939453,29.100000381469727,29.100000381469727,21.926132202148438,45900.0,MRPL.NS
1996-01-17,29.100000381469727,29.5,28.5,28.700000762939453,21.62474250793457,59700.0,MRPL.NS
1996-01-18,28.700000762939453,28.75,27.899999618530273,28.0,21.09731101989746,39700.0,MRPL.NS
1996-01-19,28.0,28.049999237060547,27.049999237060547,27.350000381469727,20.607555389404297,28000.0,MRPL.NS
1996-01-22,27.350000381469727,27.75,27.0,27.149999618530273,20.45685577392578,19700.0,MRPL.NS
1996-01-23,27.149999618530273,27.5,27.0,27.049999237060547,20.381507873535156,30600.0,MRPL.NS
1996-01-24,27.0,27.0,25.549999237060547,26.0,19.590356826782227,20900.0,MRPL.NS
1996-01-25,25.5,26.5,25.350000381469727,25.649999618530273,19.326644897460938,23100.0,MRPL.NS
1996-01-26,25.649999618530273,25.649999618530273,25.649999618530273,25.649999618530273,19.326644897460938,0.0,MRPL.NS
1996-01-29,27.0,27.0,25.0,25.700000762939453,19.36431884765625,29700.0,MRPL.NS
1996-01-30,25.700000762939453,27.049999237060547,25.75,26.100000381469727,19.66571044921875,31700.0,MRPL.NS
1996-01-31,26.100000381469727,27.25,26.25,26.350000381469727,19.854076385498047,25200.0,MRPL.NS
1996-02-01,26.350000381469727,27.0,26.350000381469727,26.600000381469727,20.04244613647461,50400.0,MRPL.NS
1996-02-02,27.0,28.299999237060547,27.0,28.049999237060547,21.134986877441406,37800.0,MRPL.NS
1996-02-05,28.049999237060547,30.899999618530273,28.25,29.149999618530273,21.963808059692383,59900.0,MRPL.NS
